DATE|TIME|DESCRIPTION|VENDOR|AMOUNT
2022-11-15|10:30:00|CONSULTING SERVICES|ABC COMPANY|1250.00
2022-11-20|09:15:43|REFUND OF PURCHASE|MICROCENTER|286.98
2022-11-22|16:00:12|REIMBURSEMENT FOR TRAVEL EXPENSES|JOE SMITH|750.00
2022-11-25|12:30:33|PAYMENT OF RENT|RENT COMPANY|-2700.00
2022-12-01|08:00:00|PURCHASE OF RAW MATERIALS|ABC COMPANY|-500.00
2022-12-07|13:20:21|PAYMENT OF INSURANCE PREMIUM|ALLSTATE INSURANCE|-1500.00
2022-12-12|15:45:32|SALE OF PRODUCTS|XYZ COMPANY|9500.00
2022-12-15|09:30:15|PURCHASE OF SOFTWARE LICENSE|MICROSOFT|-750.00
2022-12-20|12:55:43|PAYMENT OF UTILITIES|CITY|-800.00
2022-12-23|14:20:56|REFUND OF OVERPAYMENT|JOE SMITH|1000.00
2022-12-25|08:22:10|PAYMENT OF RENT|RENT COMPANY|-2700.00
2022-12-27|16:41:01|SALE OF PRODUCTS|XYZ COMPANY|8500.00
2023-01-15|10:30:00|CONSULTING SERVICES|ABC COMPANY|1250.00
2023-01-20|09:15:43|REFUND OF PURCHASE|MICROCENTER|286.98
2023-01-22|16:00:12|REIMBURSEMENT FOR TRAVEL EXPENSES|JOE SMITH|750.00
2023-01-25|12:30:33|PAYMENT OF RENT|RENT COMPANY|-2700.00
2023-02-01|08:00:00|PURCHASE OF RAW MATERIALS|ABC COMPANY|-7500.00
2023-02-07|13:20:21|PAYMENT OF INSURANCE PREMIUM|ALLSTATE INSURANCE|-1500.00
2023-02-12|15:45:32|SALE OF PRODUCTS|XYZ COMPANY|5000.00
2023-02-15|09:30:15|PURCHASE OF SOFTWARE LICENSE|MICROSOFT|-750.00
2023-02-20|12:55:43|PAYMENT OF UTILITIES|CITY|-800.00
2023-02-23|14:20:56|REFUND OF OVERPAYMENT|JOE SMITH|1000.00
2023-02-25|08:22:10|PAYMENT OF RENT|RENT COMPANY|-2700.00
2023-02-27|16:41:01|SALE OF PRODUCTS|XYZ COMPANY|8500.00
2023-03-15|10:30:00|CONSULTING SERVICES|ABC COMPANY|1250.00
2023-03-20|09:15:43|REFUND OF PURCHASE|MICROCENTER|286.98
